"filename", "language", "YAML", "C++", "Properties", "Gradle", "XML", "Dart", "CMake", "JSON", "Swift", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 7, 17
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\build.gradle", "Gradle", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 5, 13, 73
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 1, 40
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\build.gradle", "Gradle", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\gradle.properties", "Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\android\settings.gradle", "Gradle", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\ArrowLeft.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Bell.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\BellSimpleSlash.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CaretCircleRight.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CaretRight.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CheckCircle.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\CheckCircleBlue.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Clock.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Drop.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Ellipse 1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Ellipse_28.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Fire.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Folders.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Globe.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Group33639.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\HeartStraight.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\HeartStraight1.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\HeartStraightRed.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\House.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\MagnifyingGlass.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\MapPin.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\MapPin1.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\MapTrifold.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Phone.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Plus.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Profile.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\ShareNetwork.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\SlidersHorizontal.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Timer.svg", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Trash.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\UnChoosedCircle.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\Union.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\UserCircle.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\VideoCamera.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\WifiHigh.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\building_line.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\elevator-lift-svgrepo-com 1.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\emlak_logo.svg", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\garage-svgrepo-com 1.svg", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\assets\images\heating-svgrepo-com 1.svg", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\devtools_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\api_clients\api_client.dart", "Dart", 0, 0, 0, 0, 0, 478, 0, 0, 0, 0, 0, 1, 56, 535
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\announce_condition.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\announce_condition.g.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\announces_id.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\announces_id.g.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 4, 5, 71
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\location.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\location.g.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\nearby_locations.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\nearby_locations.g.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 5, 31
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\similar_ads.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\similar_ads.g.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 5, 23
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\the_nearest_park.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\the_nearest_park.g.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\the_nearest_school.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\the_nearest_school.g.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\the_nearest_station.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\announces_id\the_nearest_station.g.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\marks.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\marks.g.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\metro.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\metro.g.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\region.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\region.g.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 5, 22
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\settlements.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Rahim\Desktop\my_own_projects\rieltor_ofis\lib\domain\entity\areamarks\settlements.g.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 5, 19
